review,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,sentiment
value money 455 performance 55 build quality 455 design 455 noise 45only drier make little noise brief first purchase fully automatic machine using semiautomatic machine past 20 year finally decided shift fully automatic machine heard really bad feedback top load decided front load shortlisted 3 brand budget samsung lg bosch heard quality issue bosch indian retail washing machine list got 24k bbd sale card discount delivery decided buy samsung trust brand looking offline store though feel lg slight edge build quality loved design samsung little bit better coming delivery delivered 8 day fine considering bbd rush installation done next day samsung guy installation installation smooth staff considerate request offered stand 1600 cover 500 felt quality nice decided go explained feature great patience basically going use daily wash mode 90 time installed machine bathroom fine operation turn machine tap choose mode 2 cap liquid detergent turn machine daily wash mode take 66 minute try use 800 rpm feel like 1400 going affect clothes also choose temperature heater also choose option like soiled extra dirty clothes rinse rinsing clothes little longer option increase washing time get job done performance washing perfect maybe havent experienced front load definitely much better semiautomatic machine also use rinse dry option dry wet clothes heater dry clothes well use 40 degree safer side moisture content drying 2025 pretty okay price using month tried type different clothes like bedsheets cotton synthetic polyester wool etc stain well vanished single load fit 1112 normal clothes 23 bedsheets 12 ac quilt overall value money washing machine ample feature little budget go wifi connected one userfriendly operation,0.9936,0.206,0.027,0.767,0.14446589446589453,Positive
delivery experience horrible one person come delivery one person lift 65kg item customer choice follow delivery boy lifting placing home kind delivery manner lady home flipkart expect experience woman flipkart must respond overall good product worst delivery experience,-0.3182,0.132,0.159,0.71,-0.14,Negative
excelent machine using top load machine last 12yrs switched front load must say efficient top load machine take less water cleaning efficiency excelent ai feature auto detects kind load wash machine wifi enabled connect phone confort app select wash mode want many feature would like highlight really helpful every day use 1it got option bubble washhere clothes socked soap solution time wash start 2 temp 90 degree option select temprature 40 90 degress 3 customize rinz cycleie many rinz cycle want 4 may sound gimic wifi enabled machine really useful give much informaiton machine name fewit tell many wash remaining durm clean much energy used also tell much money consumed also give option customized wash preferrence via app need infrot machien rotating nob everytimeover using top load washing machine form last 12yrs moving machine really good dicision took tried share experience machine hopefully help others take decision,0.9895,0.267,0.0,0.733,0.33333333333333337,Positive
amazing product good quality,0.7717,0.77,0.0,0.23,0.65,Positive
pro enough wash cycle option panel low noise operation touch panel select function better tactile button clothes washed expected depending cycle selected earlier thought top load wash better front load better opinion wash cycle spray water jet clothes remove detergent rinse con 9kg drum size look old 65 kg top load machine purchasing online visit store check drum size per expectation buy 12kg version possible quick wash option meant clothes electricity consumption higher sometimes clothes dry whirlpool top load used dry better 800 rpm speed samsung 1400 speed easy throw soiled clothes one like top load feel frequent open close front door may loosen lock rubber gasket time let see convenience filling water external pipe bucket water supply gone something con highlighting someone face irregular water supply,0.959,0.17,0.015,0.815,0.22651515151515153,Positive
technician came installation knowledge company get installation done people even install installation part washing machine provided company,0.0,0.0,0.0,1.0,0.0,Neutral
fast delivery delivery person demanded extra money exchange washing machine even senior demanding extra money installation hurry proper manner product first thing ive noticed rat protection panel cardboard material one easily make panel provided plastic steel rubber cycle stop thrice daily wash cycle first day usage acceptable overall im completely disappointed flipkart service due return flipkart providing plastic rat protection panel given time delivery installation,-0.5709,0.064,0.129,0.807,0.023484848484848483,Negative
good,0.4404,1.0,0.0,0.0,0.7,Positive
used front door ifb used longer time 5 yr concern motor related issue changing newer machine looking change brand explored found model samsung better feature multiple option early share feed back past 10 day work fine best part less noisy even know machine running beep indicating machine completed keeping finger crossed samsung one best supplier home need anticipating disappointment may share another feedback 6 month thanks flipkart delivery service care jeeves team member nice took good care machine installation,0.9794,0.321,0.047,0.632,0.25,Positive
value money cant expect,0.34,0.444,0.0,0.556,0.0,Positive
good job kindly listen ai buzz word useless couple day ai pattern learning u select mobile might complicate elder people,0.5106,0.245,0.112,0.643,0.2666666666666666,Positive
must buy value money good performance,0.6486,0.57,0.0,0.43,0.7,Positive
excellent machine every thing hassle free less power consumption huge water save compared top load u trust brand lik samsung installation done next day aramsye wil work next 8 year peace thank u samsung,0.9696,0.504,0.0,0.496,0.30476190476190473,Positive
nice product,0.4215,0.737,0.0,0.263,0.6,Positive
rat mash poor quality dont know theyre providing metal cover bottom square machine think bad strategy cheating customer second day installation rat cut machine tub,-0.9062,0.0,0.369,0.631,-0.36666666666666664,Negative
completion program door lock open switch switch machine running sudden light clothes stuck till light came please update setting regarding,0.0772,0.103,0.09,0.807,0.2,Positive
nice product thank samsung,0.6486,0.726,0.0,0.274,0.6,Positive
bought bbd 28k 10 mode available one also download additional mode smart thing app set washing machine use downloaded mode nice feature available mostly use 2 3 mode maximum clothes wash come almost 90 dried kind satisfied wash quality eco bubble mode better clothes dirty soiled obviously cant match wash quality hand wash say match 80 hand wash quality happy delivery guy friendly reluctant deliver product second floor trying keep product ground floor get away needed lot convincing,0.9762,0.306,0.049,0.645,0.305952380952381,Positive
got 28 k saw many brand finally decided buy samsung samsung drum size little bigger brand got really good one good price machine wash cloth nicely less sound suggest please go buy without doubt,0.9087,0.324,0.0,0.676,0.24322916666666666,Positive
excellentnever expectedand looking glamorousand new version new mfg august 2023,0.0,0.0,0.0,1.0,0.13636363636363635,Neutral
good washing machine value money make less noice drum big consumes less water electricity dont waste time searching washing go,0.7672,0.31,0.0,0.69,0.03333333333333334,Positive
first time using samsung home appliance experience good received call samsung service centre within 2 hr delivery technician assigned skilled understanding thumb samsung fast installation demo coming washing machine 1 silent 2 us little water 3 best people dont want complicated mode simple usable mode 4 soak mode good recommended use always first time ordering big home appliance flipkart delivery guy good suggestion user upgrading old washing machine new one please take help plumber installing washing machine tap angular valve installation washing machine,0.9531,0.214,0.013,0.772,0.2565909090909091,Positive
touch panel visible also one touch option working properly,0.0,0.0,0.0,1.0,0.0,Neutral
lot confusion brand bought choosen samsung 8kg machine model first look wise good low noise power rating 5 star advantage user friendly want buy 8kg machine 30k could choose one budget pbm choose bosch ifbbecause bosch ifb brand best washing machine,0.9081,0.315,0.081,0.604,0.5041666666666667,Positive
nice person installation appreciated,0.7269,0.753,0.0,0.247,0.4,Positive
everything good machine installation demo big zero bought flipkart raised concern flipkart regarding action taken would request flipkart better installation support team,0.8176,0.309,0.0,0.691,0.32499999999999996,Positive
nice make,0.4215,0.737,0.0,0.263,0.6,Positive
completely 4 month using review 1 first thing product quality good heavy weight 2 second thing product washing quality fantastic fine personally love washing quality 3 third thing product noise level slightly low minimal 4 fourth thing maintenance product generally maintenance yearly 3 time drum cleaning cause drum grem free smell free 5 last thing rating product 4 5 star thanks flipkart giving best quality washing machine,0.9794,0.365,0.023,0.612,0.22870370370370374,Positive
writing review using 2 month samsung 7kg front load machine 1washing quality superb 2no sound vibration washing cycle 3 smooth silent operation 4suitable couple couple 2 child,0.6249,0.151,0.0,0.849,0.44999999999999996,Positive
amazing product form samsung first looking local store overpriced 32k finally got product flipkart 24k many offer best exchange rate thank flipkart team,0.8885,0.344,0.0,0.656,0.39166666666666666,Positive
absolutely love product thank samsung best product price,0.9092,0.696,0.0,0.304,0.75,Positive
delivery installation everything excellent quality washing machine topnotch,0.5719,0.346,0.0,0.654,1.0,Positive
easy use simple effective,0.7184,0.75,0.0,0.25,0.3444444444444444,Positive
one month using good washing machine facing issue recommended friend relative,0.7845,0.497,0.0,0.503,0.35,Positive
nice product value money,0.6369,0.722,0.0,0.278,0.6,Positive
excellent product go,0.5719,0.649,0.0,0.351,1.0,Positive
nice product iot control machine mobile elegant design good performance delivery quick installation also done flipkart,0.8316,0.404,0.0,0.596,0.5333333333333333,Positive
superbone month experience samsung eco bubble 8kg go itless noise washing quality terrificfull storage 60ml 90ml detergent liquid enoughinox grey colour nice almost 80 drying full complete circle clothes without wrinkle hand wash,0.0956,0.109,0.072,0.819,0.24999999999999997,Positive
washing expert full advanced technologiesits ecobubble technology wonderfuluses less amount detergent creates bubble make cloth new like cleanyou manually select temperaturespin rinsing time also select washing mode using smart thing app blackish grey look give dashing lookyou cant help looking itthe cone take much load specific arrange clothes properly starting final spin result shakesas direct drive machine make little noise washing final spin start shaking,0.6461,0.142,0.055,0.803,0.07665251415251416,Positive
strongly recommend buy wifi model wifi control program nothing else need go switch machine start machine selecting program also manual expectation wifi model need put clothes main switch rest like play machine selection programme machine machine switch board wifi waste waste go without wifi model save extra money,0.0701,0.162,0.14,0.698,0.039999999999999994,Positive
best product range,0.6369,0.677,0.0,0.323,1.0,Positive
good product rat mesh quality bad,-0.1531,0.279,0.337,0.385,5.551115123125783e-17,Negative
wifi connectivity useless doesnt start mobile,-0.4215,0.0,0.359,0.641,-0.5,Negative
start rinse high vibration 10 second,0.0,0.0,0.0,1.0,0.08,Neutral
machine super powerful front load washer way superior top load washer weight around 70 kg whereas top load weighs around 31 kg freaking jet come performance choose front load day rather top load also washed double bed heavy blanket 12 kg one cake walk machine,0.8957,0.277,0.05,0.674,0.3291666666666666,Positive
go eye shut good performance till date used function job well ai good job suggesting preferred wash cycle week usage,0.7845,0.317,0.0,0.683,0.7,Positive
overall great buy samsung used top load machine front load performs better top load less noise additional feature better 34 person family 8kg machine easily fit 1015 clothes time card offer good available time pro noise free compared machine better wash added feature hygiene steam con inlet valve might bit long rat mesh quality could better wifi enabled feature upto mark,0.9806,0.378,0.0,0.622,0.3916666666666667,Positive
best,0.6369,1.0,0.0,0.0,1.0,Positive
superb design silent work cloth washing quality good amazing washing machine,0.8957,0.574,0.0,0.426,0.575,Positive
overall good,0.4404,0.744,0.0,0.256,0.35,Positive
less noise less water consumption,0.0,0.0,0.0,1.0,-0.16666666666666666,Neutral
excellent product saving lot time money energy fun wash clothes latest technology give relaxation peace mind thanks samsung technology,0.9578,0.592,0.0,0.408,0.5,Positive
im writing 4 month usage wonderful machine pro clean type dirty clothes low electricity consumption easy operate lady get hang get demo value money product operate mobile con produce noise deal breaker though recommended use liquid costly water wastage overall go,0.7964,0.26,0.123,0.617,0.20000000000000004,Positive
bottom cover made plastic bend easily,0.34,0.324,0.0,0.676,0.43333333333333335,Positive
product good delivery gooddemo seduled31st maydome done on30 mayhe explain everything goodi appreciate provided company,0.6808,0.301,0.0,0.699,0.7,Positive
nice,0.4215,1.0,0.0,0.0,0.6,Positive
good product,0.4404,0.744,0.0,0.256,0.7,Positive
delivering item product damaged otherwise nice product,-0.0258,0.262,0.271,0.467,0.6,Neutral
product good delivery installation worst,-0.296,0.29,0.41,0.3,-0.15000000000000002,Negative
touch expensive good mone,0.4404,0.492,0.0,0.508,0.09999999999999998,Positive
thanks flipkart safely delivering product machine awesome,0.8807,0.718,0.0,0.282,0.5666666666666667,Positive
overall impression extremely satisfied purchase samsung 8 kg washing machine combine generous capacity energy efficiency variety wash cycle wrapped sleek userfriendly design youre market reliable efficient washing machine model definitely worth considering,0.9538,0.469,0.0,0.531,0.26666666666666666,Positive
nice washing machine samsung,0.4215,0.483,0.0,0.517,0.6,Positive
good product sofar happy performance nice washing quality,0.8555,0.653,0.0,0.347,0.7000000000000001,Positive
mother age nearing 60 seeing get tired washing clothes age make heart ache planning buy washing machine mother long time due voltage issue area could buy one earlier voltage problem resolved finally purchased gift mother ease burden chose one futureproof machine wifi enabled fully controllable samsung smartthings app,-0.6124,0.12,0.187,0.693,-0.11499999999999999,Negative
flipkart therdparty service poor today morning call samsung customer support customer support team helpful hour ago visit samsung technician solved issue use machine showed entire demo thank samsung customer support team,0.886,0.364,0.073,0.563,-0.2,Positive
one cone insulation use,0.0,0.0,0.0,1.0,0.0,Neutral
samsung washing machine great degein front looking beautiful good washing,0.8979,0.609,0.0,0.391,0.7833333333333332,Positive
nice washing machine price,0.4215,0.483,0.0,0.517,0.6,Positive
one best washing machine ever use since 20 year good quality function,0.7964,0.415,0.0,0.585,0.85,Positive
thing say buy best smart technology really helpful,0.8748,0.667,0.0,0.333,0.47142857142857136,Positive
good washing machine good working easy use,0.8271,0.685,0.0,0.315,0.611111111111111,Positive
value money,0.34,0.706,0.0,0.294,0.0,Positive
best performance take little extra time okay,0.7037,0.539,0.0,0.461,0.328125,Positive
great product samsung installation good flipkart always provides great offer,0.9022,0.613,0.0,0.387,0.7666666666666666,Positive
expectedvery less noise clean deeply look like expensive one happy samsung,0.836,0.527,0.0,0.473,0.10000000000000002,Positive
product nice upto expectation,0.4215,0.483,0.0,0.517,0.6,Positive
washed king size winter blanket unless take less water cleaned awsome machine take less amount water sure anyone water problem please go machine full cherry top lovely,0.738,0.287,0.078,0.635,0.25277777777777777,Positive
product good best offer got working fine,0.836,0.69,0.0,0.31,0.7055555555555556,Positive
writing review use month excellent wash quality one wash,0.5719,0.316,0.0,0.684,1.0,Positive
product experience excellent delivery experience horrible,0.0516,0.33,0.312,0.357,0.0,Positive
good second time purchase,0.4404,0.492,0.0,0.508,0.35,Positive
superb performance,0.6249,0.804,0.0,0.196,1.0,Positive
best washing machine,0.6369,0.677,0.0,0.323,1.0,Positive
using g month writing review product worth value till working fine face issue using daily type clothes,0.6249,0.319,0.0,0.681,0.2388888888888889,Positive
working fine till 4 month,0.2023,0.375,0.0,0.625,0.4166666666666667,Positive
performance excellent,0.5719,0.787,0.0,0.213,1.0,Positive
nice product price range,0.4215,0.483,0.0,0.517,0.6,Positive
superb,0.6249,1.0,0.0,0.0,1.0,Positive
